"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2021-12-10",215.600006,218.309998,214.380005,217.449997,296500,214.599457
"2021-12-13",217.740005,218.050003,213.059998,213.190002,335900,210.395309
"2021-12-14",212.759995,214.759995,209.960007,212.889999,442000,210.099243
"2021-12-15",213.5,216.899994,210.809998,216.679993,391200,213.839539
"2021-12-16",218.839996,222.070007,215.990005,216.880005,446300,214.036942
"2021-12-17",215.300003,216.289993,208.679993,209.350006,926000,206.605652
"2021-12-20",207,207.309998,201.710007,204.509995,392900,201.829086
"2021-12-21",206,209.5,206,208.509995,244300,205.776657
"2021-12-22",208,209.229996,207.369995,208.179993,138300,205.450974
"2021-12-23",208.820007,210.899994,208.619995,209.940002,182500,207.187912
"2021-12-27",209.839996,214.020004,208.600006,213.970001,233600,211.165085
"2021-12-28",213.089996,217.5,213.089996,216.899994,177700,214.056656
"2021-12-29",216.910004,218.139999,214.580002,217.389999,146000,214.540253
"2021-12-30",218,218.429993,214.179993,214.25,240000,211.441406
"2021-12-31",213.970001,216.550003,212.710007,215.380005,182900,212.55661
"2022-01-03",216.929993,217.160004,211.139999,213.320007,206100,210.523605
